run,iteration,uc_set,uc_feedback,online_score,shot1,shot2,shot3,median3,mean3,cv3
短预算1,4,504.0,507.93650793650795,35.224149999999995,36.0856,39.7819,34.3627,36.0856,36.7434,7.535603406386509
短预算1,19,516.0,520.1465201465202,33.15735,33.0549,39.9764,33.2598,33.2598,35.430366666666664,11.1156431606102
短预算1,12,527.0,531.1355311355311,33.800700000000006,29.8027,34.0936,33.5078,33.5078,32.46803333333333,7.166296776147845
短预算1,23,540.0,543.9560439560439,33.24105,29.8354,33.2584,33.2237,33.2237,32.10583333333333,6.124524068905869
短预算1,21,541.0,545.1770451770452,32.8447,28.9431,33.0695,32.6199,32.6199,31.544166666666666,7.176538031684802
短预算1,9,542.0,545.7875457875458,29.40005,29.3533,33.2229,29.4468,29.4468,30.674333333333333,7.1969568585369075
短预算1,22,543.0,547.008547008547,29.476799999999997,29.9565,33.7152,28.9971,29.9565,30.8896,8.07267356123207
短预算1,3,557.0,561.050061050061,33.911550000000005,34.0863,33.0766,33.7368,33.7368,33.63323333333334,1.5245497182508994
短预算1,14,569.0,573.2600732600732,34.10655,33.7887,43.1574,34.4244,34.4244,37.1235,14.102034088357444
短预算1,20,577.0,581.1965811965812,43.492850000000004,42.6968,44.2889,34.62,42.6968,40.53523333333334,12.789428277346504
短预算1,5,586.0,589.7435897435897,34.7038,93.5182,34.3267,35.0809,35.0809,54.30859999999999,62.52896139356044
短预算1,25,594.0,597.6800976800977,35.70825,32.6172,35.3541,36.0624,35.3541,34.6779,5.24662400377024
短预算1,15,601.0,605.006105006105,33.8905,33.0527,36.5024,34.7283,34.7283,34.76113333333333,4.962681572495057
短预算1,17,613.0,617.2161172161173,34.65105,34.6221,35.4565,34.68,34.68,34.919533333333334,1.3342876952089353
短预算1,6,625.0,629.4261294261295,35.763,30.4529,36.0068,35.5192,35.5192,33.99296666666667,9.04736043124384
短预算1,29,631.0,635.5311355311355,31.40455,30.9336,31.3976,31.4115,31.3976,31.247566666666668,0.870441915281126
短预算1,2,638.0,642.8571428571429,31.92465,31.8305,32.0188,30.8837,31.8305,31.57766666666667,1.9264333858823393
